,Job Title,Salary Estimate,Rating,Company Name,Location,Industry,Sector,Job Description
522,Machine Learning / Computer Vision Scientist - (Contract - Long Term),-1,3.8,Analog,"Bellevue, WA","Industry
--",--,"Overview:
Machine Learning / Computer Vision Scientist - Contract

Location: Greater Seattle Area

Job Type: Full-time, Individual Contributor

Reports into: Director of AI/ML

Company Overview:

Analog is a company with a mission to build solutions that will empower people to stop living behind the digital world of GUIs and start remembering how to live in our rainbow-filled analog world.

We are focused on building solutions that allow people to engage with the physical world and bridge the gap between the analog and digital worlds. We believe that as technology advances, it is important to draw inspiration from the analog world and create solutions that allow machines to understand and interact with physical space.

At Analog, come join us on our journey as we work on Mixed Reality and AI interfaces that can sense and understand the real world, and we aim to create an interface that blends the analog and digital worlds seamlessly.

Job Description:

We are seeking a highly skilled and experienced Machine Learning / Computer Vision Scientist to join our team as an AIML and Computer Vision specialist. The ideal candidate will have strong expertise in a sub-branch of artificial intelligence, machine learning, or computer vision, with a track record of industry-leading innovation in one or several of these areas. This may include experience with pattern recognition across different sensor technologies, machine perception, learning algorithms, neural networks, assisted and unassisted learning methodologies, and more. Experience in shipped AIML or CV large scale products is highly preferred.

As a Machine Learning / Computer Vision Scientist, you will be responsible for driving the development of innovative solutions and technologies in the field of artificial intelligence, machine learning, and computer vision. You will work closely with cross-functional teams to identify and solve complex technical challenges and drive the development of cutting-edge solutions.
Qualifications:
Qualifications:

Bachelor's degree in Computer Science, Artificial Intelligence, Machine Learning, or a related field
Strong expertise in a sub-branch of artificial intelligence, machine learning, or computer vision
Demonstrated industry-leading innovation in one or several of these areas.
Experience in shipped AIML or CV large scale products is highly preferred.
Proficiency in machine learning and computer vision techniques and technologies, including neural networks, learning algorithms, and assisted and unassisted learning methodologies.
Strong problem-solving skills and ability to work independently as well as in a team environment.
Excellent communication and collaboration skills

Additional Information

Analog reserves the right to change this job description to meet the business needs of the organization.
We are dedicated to creating a work environment that is inclusive and welcoming for all individuals. We value diversity and strive to create an atmosphere where everyone feels respected and valued. Analog is an Equal Opportunity Employer and Prohibits Discrimination and Harassment of Any Kind; Analog is committed to providing employees with a work environment free of discrimination and harassment, we value representation, and we are most interested in finding the best candidate for the job. We recognize that a fitting candidate may come from a less traditional background and we encourage all qualified candidates to apply for any open positions within our organization, without regard to race, color, religion or belief, national, social or ethnic origin, sex (including pregnancy), age, physical, mental or sensory disability, sexual orientation, gender identity and/or expression, marital, civil union or domestic partnership status, past or present military service, family medical history or genetic information, family or parental status, or any other status protected by the laws or regulations in the locations where we operate.
Responsibilities:
Key Responsibilities:

Conduct research and development in the field of artificial intelligence, machine learning, and computer vision.
Identify and solve complex technical challenges in the field of AIML and CV
Collaborate with cross-functional teams to design and implement innovative solutions to meet business and technical requirements.
Understand and apply best practices in machine learning and computer vision, including neural networks, learning algorithms, and assisted and unassisted learning methodologies.
Maintain and improve existing systems and technologies."
523,Machine Learning Engineer - AI Research,"$196,250",4.0,Salesforce,"Palo Alto, CA","Industry
Enterprise Software & Network Solutions",Information Technology,"To get the best candidate experience, please consider applying for a maximum of 3 roles within 12 months to ensure you are not duplicating efforts.
Job Category
Software Engineering
Job Details
About Salesforce
We’re Salesforce, the Customer Company, inspiring the future of business with AI+ Data +CRM. Leading with our core values, we help companies across every industry blaze new trails and connect with customers in a whole new way. And, we empower you to be a Trailblazer, too — driving your performance and career growth, charting new paths, and improving the state of the world. If you believe in business as the greatest platform for change and in companies doing well and doing good – you’ve come to the right place.
Machine Learning Engineer | AI Research

Note: By applying to the Machine Learning Engineer| AI Research posting, recruiters and hiring managers across the organization hiring machine learning engineers will review your resume. Our goal is for you to apply once and have your resume reviewed by multiple hiring teams.

Salesforce is looking for an exceptional Machine Learning Engineer| AI Resercher to help us take on one of the world’s most extensive data sets and transform it into amazing products that feel like magic. You will work on innovative AI applications and products. Brainstorming data product ideas with data scientists and engineers to build data products used by hundreds of millions people every day.

In your role as a Machine Learning Engineer | AI Research, you will partner with analysts, engineers, designers, executives, product managers, marketers, customer success, and sales team members across all Cloud businesses to create ML-driven decision making data products that enable our partners to affect the bottom line and solve critical business problems.

Your Impact:
Work closely with a dedicated team of machine learning professionals on a wide range of problems including forecasting significant business metrics such as sales and capacity, churn and propensity modeling to retain and grow our customer base, clustering and classification using both structured and unstructured data, and more!
Help create high-visibility data products and decision-making tools for Salesforce’s leaders
Lead the charge on taking our core products to the next level in terms of engineering maturity and architecture
Refine and develop new data science products , workflows, tools, and automation
Build tools to monitor data pipeline performance, data quality and models in production
Establish best practices with coding standards, workflows, tools, and product automation
Review and maintain existing tool-set and codebase (pipelines, models, algorithms); continue to improve existing tools and build new ones
Scale the operations of the data science team by building automation and libraries

Required Skills:
A related technical degree required
4+ years of industry experience and a passion for crafting, analyzing and deploying machine learning-based solutions
Experience working as part of a team with mature data science products
Consistent record in building software and data products using modern development lifecycle methodologies: CI/CD, QA, and Agile Methodologies
Applied experience designing, building and optimizing data pipelines, architectures and data sets
Experience deploying, monitoring and maintaining data science products in cloud environments such as AWS or Microsoft Azure
Good understanding of Machine Learning methods and Statistics, including ML project lifecycle and associated challenges at each stage of development
Proficient at writing good quality, well-documented and tested, scalable code - Python preferred. Experience with tools like mlFlow, Airflow , Docker and Cloud Platforms such as AWS/GCP is ideal
Solid understanding of data transformations and analytics functions using tools/languages like Pandas, Sklearn, SQL and Spark
Strong communication skills and ability to interface well with other engineers, data scientists and product managers
Passion, curiosity, solutions focus and independence
Accommodations
If you require assistance due to a disability applying for open positions please submit a request via this Accommodations Request Form .
Posting Statement
At Salesforce we believe that the business of business is to improve the state of our world. Each of us has a responsibility to drive Equality in our communities and workplaces. We are committed to creating a workforce that reflects society through inclusive programs and initiatives such as equal pay, employee resource groups, inclusive benefits, and more. Learn more about Equality at www.equality.com and explore our company benefits at www.salesforcebenefits.com .
Salesforce is an Equal Employment Opportunity and Affirmative Action Employer. Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender perception or identity, national origin, age, marital status, protected veteran status, or disability status. Salesforce does not accept unsolicited headhunter and agency resumes. Salesforce will not pay any third-party agency or company that does not have a signed agreement with Salesforce .
Salesforce welcomes all.
Pursuant to the San Francisco Fair Chance Ordinance and the Los Angeles Fair Chance Initiative for Hiring, Salesforce will consider for employment qualified applicants with arrest and conviction records.
For California-based roles, the base salary hiring range for this position is $133,800 to $258,700.
Compensation offered will be determined by factors such as location, level, job-related knowledge, skills, and experience. Certain roles may be eligible for incentive compensation, equity, benefits. More details about our company benefits can be found at the following link: https://www.salesforcebenefits.com."
524,Data Scientist (Artificial Intelligence / Machine Learning),-1,3.7,American Bureau of Shipping (ABS),"Washington, DC","Industry
Architectural & Engineering Services","Construction, Repair & Maintenance Services","ABS Group is a global company that provides data-driven risk and reliability solutions and technical services that help our clients enhance the safety, integrity, quality, and environmental efficiency of their critical assets and operations.
In this Data Scientist (AI/ML) position, you will analyze data complex datasets from a federal agency and implement complex algorithms to increase efficiency. Analyses will involve critical thinking and moderate statistical analysis to unravel complex and often messy data. The ideal candidate is a team player, critical thinker, and problem solver who enjoys working in a dynamic, collaborative environment. If you are a motivated self-starter with intellectual curiosity, we’re just what you’re looking for.
Please note: T he ideal candidate for this role should be open to working our hybrid model. For the hybrid model, Monday– Thursday duties are performed out of our Knoxville office: 830 Corridor Park Blvd (830 Corridor Park Blvd, Knoxville, Tennessee 37932). Friday is remote eligible. The typical schedule consists of 40 hours per week. Open fully remote to candidates in the DC Metropolitan area.
What You Will Do:
Translate client needs and project tasking into individual, actionable next steps.
Research and identify available data sources to support decision-making
Use statistical tests to validate findings
Assess efficacy of algorithms using mathematical models
Automate data gathering/cleaning processes
Troubleshoot and debug errors
Write reports/documentation summarizing your work
Contribute positive energy to the team
Communicate your work to small audiences (10-20 people)
What You Will Need:
Education and Experience
Minimum 8 years of relevant work experience with complex algorithms (Artificial Intelligence and/or Machine Learning)
Minimum 2 years of experience with survey or census data and programs
Experience with two data analysis languages (e.g., SQL, Python, R, Stata)
Experience with enterprise data visualization tools (e.g., Power BI, Tableau)
Bachelor’s degree in engineering, mathematics, economics, computer science, information management or statistics, or related technical field
U.S. citizen capable of obtaining and maintaining a Secret level clearance.
Preferred Skills:
Advanced Excel experience (e.g. VBA, Query Editor/PowerQuery)
Geospatial analysis experience (e.g. ArcGIS, QGIS)
Engineering experience
Unstructured data parsing experience
Aesthetic data visualization expertise
Data analyst certification
Knowledge, Skills and Abilities Required (KSAR):
Strong written and verbal communications skills
Experienced in working as part of multi-faceted teams
Experienced in System Identification, Machine Learning and other data science technologies such as Artificial Intelligence, Risk Analysis and Statistical methods
Specialties in utilizing data in developing physics-based and time-series models
Experience should include work with applications such as Python, Matlab, R, or similar
Experience using database architectures such as SQL, NoSQL, or similar
Familiarity with distributed storage and processing for Big Data (e.g. Hadoop or similar)
Ability to quickly adapt and learn new domainDisplay an entrepreneurial mind set and think practical, ‘out of box’ solutions
Working knowledge of the ABS Health, Safety, Quality and Environmental Management System
Reporting Relationships:
This reports to a manager-level position or above. This position does not have any direct reports.
Notice:
This position requires access to information that is subject to control by the Export Administration Regulations and/or the International Traffic in Arms Regulations. Any offer of employment shall be contingent upon the Company’s verification that the candidate is a “U.S. Person” or upon the receipt of all necessary export licenses or authorizations that may be required by U.S. export control laws. “U.S. Persons” are defined as U.S. citizens, U.S. lawful permanent residents (i.e., “green card” holders), or any individual granted protected status under the Immigration and Nationality Act (8 U.S.C. § 1324b(a)(3)), including asylees and refugees. In the event a candidate refuses or cannot otherwise provide the necessary information for the Company to determine whether such licenses may be required, or for the Company to obtain any required licenses, the Company shall maintain the exclusive right to discontinue the application process and/or withdraw any contingent offer that has been made. #dice"
525,Assessment of AI/ML Risks - Advisor (Open to Remote),-1,4.2,Fannie Mae,"Washington, DC","Industry
Banking & Lending",Financial Services,"Company Description

At Fannie Mae, futures are made. The inspiring work we do helps make a home a possibility for millions of homeowners and renters. Every day offers compelling opportunities to impact the future of the housing industry while being part of an inclusive team thriving in an energizing, flexible environment. Here, you will grow your career and help create access to fair, affordable housing finance."
526,Machine Learning Engineer,-1,-1,SIS,"Austin, TX",-1,-1,"Type: W2 Inc Description:
Title: Machine Learning Engineer
Location : Austin, TX
12+ months contract role
W2/C2C

***Hybrid role 3 days onsite *** Candidate must be willing to relocate .......

Summary
We are looking for a Machine Learning Engineer, who has hands-on experience in machine learning system development, Cloud computing, backend development and AI/ML.

Automate end-to-end ETL/ML pipelines with structural understanding of data products.
. Automate, deploy and maintain ML pipelines into existing cloud resources.
Work with team members to assist with data-related technical issues and support their data product needs.
Work with team members to evaluate and improve existing ML system and models.

Required Skills
A background in computer science with a minimum of 2 years professional experience
Strong Python/Java programming skills
Experience in implementing data pipelines using python
Experience with workflow scheduling / orchestration such as Kubernetes, Airflow or Oozie
Extract Transform Load (ETL) experience using Spark, Kafka, Hadoop, or similar technologies
Experience with query APIs using JSON, ProtocolBuffers, or XML
Experience with Unix-based command line interface and Bash scripts

Optional Skills
Experience with computer vision or natural language processing a plus.
Database development experience with Relational or MPP/distributed systems such as Oracle/Teradata/Vertica/Hive a plus
Data visualization or web development skills a plus

Education
Bachelors in computer science or engineering; Advanced degree preferred
Location Austin , TX Min Experience (yrs): Required Education: Not Specified Benefits:"
527,Software Engineer,-1,-1,Strong Analytics,Remote,-1,-1,"Strong Analytics is seeking Software and Data Engineers to help design and develop machine-learning based applications for clients ranging from startups to Fortune 500s. Engineers are core contributors at Strong, with responsibilities such as building and managing application pipelines, embedding statistical algorithms in robust software applications, and deploying ML applications to the cloud. The ideal candidate has advanced Python and SQL skills, experience with distributed data processing, and has deployed models in batch, streaming, and real-time API contexts.

At Strong, your work will have an immediate impact on clients addressing real world challenges. Our work spans industries such as manufacturing, gaming, agriculture, automotive, and healthcare, among others. We pride ourselves not only in building the right solutions for our clients through research and development, but in implementing and scaling up those solutions through strong engineering. This role thus requires a deep expertise in applying data science and machine learning to real-world problems where data must be gathered, transformed, cleaned, and integrated into a larger architecture.
Responsibilities
Work with machine learning scientists and other engineers to develop custom ML solutions for a variety of industries and use cases
Build machine learning pipelines from ideation up through prototyping, development, and deployment
Build data pipelines which can ingest, transform, and export data
Embed statistical algorithms and machine learning models in cloud-based applications

Help identify areas of opportunity and improvement within projects

Collaborate in a fully remote, Agile-like environment using tools like Slack and Git (with a lot of uninterrupted development time)

We offer a comprehensive compensation package, including:
Competitive salary
100%-covered Health insurance for employees, 75%-covered dependents
Four weeks PTO
401(k) with employer contribution matching
Personalized monthly perks with matched charitable donations
A 100% remote work environment with highly protected work/life balance

Applicants must reside in either the US or Canada. All applicants will be considered based on their experience and demonstrated skill/aptitude, not formal education. Candidates will be evaluated based on their experience in the following areas:
Python
SQL
Relational databases (e.g., Postgres, MySQL)
Distributed computation (e.g., Spark, Hive, Athena)
Deploying deep learning-based models (e.g., PyTorch/Tensorflow)
Cloud infrastructures (we use AWS)
General application (e.g., web API) development
Git collaboration
Applicants should have the ability to travel infrequently (<5% of your time) for team meetings, conferences, and occasional client site visits."
528,Data Scientist - All Levels,-1,4.7,Interclypse Inc,"Reston, VA","Industry
Software Development",Information Technology,"Description:
Interclypse is seeking Data Scientists.
The Interclypse difference is our emphasis on employee growth and development through continuous learning, mentorship, and empowerment. Interclypse employees grow in a positive cultivating work environment with endless career opportunities. Let Interclypse empower you by putting you in the driver's seat of your career.
Currently, Interclypse is seeking motivated, career and customer-oriented Data Scientists to join our team to provide exemplary support to our customers and to begin an exciting and rewarding career within Interclypse. As a Data Scientist, you will enjoy leading edge work developing innovative solutions to address data analytics challenges, to collect large volumes of data from varying sources, perform data cleansing, transformation, interpretation, inferencing, create solutions to overcome mission challenges, and communicate with interested stakeholders.
Requirements:
Education
Degree must be in Mathematics, Applied Mathematics, Statistics, Applied Statistics, Machine Learning, Data Science, Operations Research, or Computer Science is required.
Primary Responsibilities
Engage in developing innovative solutions to address data analytics challenges, to collect large volumes of data from varying sources, perform data cleansing, transformation, interpretation, inferencing, create solutions to overcome mission challenges, and communicate with interested stakeholders.
To succeed in this position; you need to be curious, creative, and tech-savvy.
You need to stay up to date with data processing software and algorithms, have an in-depth understanding of statistics and mathematics and be proficient in writing data processing algorithms.
You must be persistent and have excellent analytical and problem-solving skills.
Devise strategies for extracting semantic value from large datasets.
Develop conclusions from data using mathematics, statistics, computer science, and application specific knowledge and concisely communicate these conclusions.
Provide informed recommendations regarding competing technical solutions through awareness of the constantly shifting collections, processing, storage and analytic capabilities and limitations.
Required Skills/Experience
Experience with SQL databases and data models (e.g., PostgreSQL , Amazon Aurora)
Experience with programming in R, Python, Java
Experience with NoSQL databases ( e.g., MongoDB, Accumulo)
Experience designing data models and approaches
Experience working in a cloud environment ( e.g., AWS, Azure)
Experience with Linux
Excellent interpersonal skills and ability to get along with data scientists, engineers, and customers at all levels
Ability to work in a dynamic team-oriented environment, demonstrate teamwork and initiative, and function productively in a dynamic work environment
Desired Skills/Experience
Experience with programming in TensorFlow, PyTorch
Experience with Hadoop, MapReduce
Experience with Tableau
Experience with Cognos
Experience with designing, implementing, and using REST APIs
Experience with RDF/OWL, SPARQL, and Semantic Web technologies
Experience with Statistical and ML analytics and modeling (e.g., R, Spark, etc.) or other deep learning frameworks a plus
Experience with Data catalogs and data management
Ability to help visualize the data for analysis and to display results
Why You Might Like This Job:
You’re tired of working for a massive organization.
You want to work for an established company that values your stable career.
You want to work with a team who loves their job and making cool stuff.
You want to be part of a team focused on making a positive impact.
You want to grow your skills in management or work toward becoming an expert.
You want to have the option for career mentorship, both in technology and in business.
You value a company with a strong culture of growth and support.
Benefits:
248 hours / 31 days of Paid Personal Time Off (PTO) for vacation, holidays, and illnesses.
Unlimited 401K match up to 8% of your salary up to the federal maximum
Medical/Dental/Vision Insurance: Premium is 100% company paid (contact us for specific plan details)
Health Savings Account (HSA): Interclypse contributes $1,500 for individuals and $3,000 for families
Vision Insurance
Dental Insurance with orthodontics coverage
Life Insurance
Accidental Death Insurance
Disability: Short-term and long-term disability coverage
Educational support: reimbursement up to the federal max of $5,250
Maternity/Paternity Leave: 40 hours
Bereavement Leave: 24 hours
Military Reserve Leave
Jury Duty Leave
Company apparel: $200 for company apparel each year
Social events: Holiday Party, Spring Picnic, Fall Picnic, happy hours and more
Interclypse isn’t your typical company. We strive to have a positive & transformational impact on our community, our industry, and individuals. We keep this focus through our motto: ""Doing What is Right"". Apply today to see how you can join our winning team and start down the career path that’s right for you!
EOE AA M/F/Vet/Disability:
Interclypse is an Equal Opportunity/Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, creed, sex, sexual orientation, gender identity, national origin, disability, or protected Veteran status."
529,Expedian Professional,-1,-1,Expedia Group,"Seattle, WA",-1,-1,"If you need assistance during the recruiting process due to a disability, please reach out to our Recruiting Accommodations Team through the Accommodation Request form. This form is used only by individuals with disabilities who require assistance or adjustments in applying and interviewing for a job. This form is not for inquiring about a position or the status of an application.
Career Opportunity with Expedia
Are you thrilled about solving complex technical problems? Are you excited by innovation and at the same time committed to building robust, well-designed systems? Do you aspire to work in a place that values collaboration and fosters cooperation and trust? Do you want to see the result of your work directly impacting the company’s bottom line? If you answered, “Yes,” then we are eager to hear from you!
We are looking for top technical talent in various areas as Program/Product Managers, Software Engineers, Mobile Engineers, Engineering Managers/Directors and Security professionals to help drive the development of our key platform capabilities, seamlessly roll out new features, and to continuously raise the bar on our operational excellence and engineering practices. No matter if you are Junior in your experience to Director level we are interested in talking with you. We here at Expedia Group, create great products and facilitate connections between travelers and partners that truly bring good into the world.
We help our travelers and partners find the right pathways through millions of possibilities to reach the best possible outcome. Powered by more than 70+ terabytes of data and 20 years of tech innovation, Expedia Group is one of the world’s largest travel platforms.
Some of our key business priorities includes enabling EG Brands, creating less friction for partners, making the overall shopping experience more efficient for travelers, and help drive improvements. We optimize fixed costs that are either redundant or inefficient, including: data center cost reductions, renegotiated licensing deals, and costs for duplicative tools.
Our focus on security, resiliency and regulatory actions of the business enables us to generate cost savings through mitigation, avoidance costs & organizational efficiency. We are responsible for designing, developing and delivering amazing web and app experiences that travelers love.
Powering many of travel’s most recognized global brands, the team orchestrates marketing, commerce, customer service, data, AI/machine learning, and supply services from across the company into websites and mobile apps that capture customer traffic, turn shoppers into bookers, and engage travelers at every stage of their journey.
What you’ll do:
Join a very experienced, successful, and high-performing team and will have a unique opportunity to grow to the next level
Team up with peers across the organization to build an understanding of cross dependencies and shared problem-solving
Seek, learn, and use new technical skills in an engineering area
Share new skills and knowledge with the team to increase efficiency
Identify technical issues and provide data to support solutions
Consider new ways of using technology to meet or enhance customers’ needs
Who you are:
Familiar with e-commerce architecture and production resiliency
Strong communication skills in written and verbal form
Prior experience developing and supporting Web Services is a plus
Working knowledge of Agile Software Development methodologies (scrum, XP)
Experience with APIs and working with AWS or similar cloud platforms. Have strong technical acumen which allows you to be responsible for the technical domain
Have strong technical acumen which allows you to be responsible for the technical domain
#LI-MS1
Expedia Group is currently looking for Program/Product Managers, Software Engineers, Mobile Engineers, Engineering Managers/Directors and Security professionals. If you are one of these professionals, please let us know.
While the total cash range can vary depending on job function, location, level and expertise, here is an example of our Senior Software Development Engineer based out of Seattle.
The total cash range for this position in Seattle is $161,500.00 to $226,000.00. Employees in this role have the potential to increase their pay up to $258,500.00, which is the top of the range, based on ongoing, demonstrated, and sustained performance in the role.
Starting pay for this role will vary based on multiple factors, including location, available budget, and an individual’s knowledge, skills, and experience. Pay ranges may be modified in the future.
Expedia Group is proud to offer a wide range of benefits to support employees and their families, including medical/dental/vision, paid time off, and an Employee Assistance Program. To fuel each employee’s passion for travel, we offer a wellness & travel reimbursement, travel discounts, and an International Airlines Travel Agent (IATAN) membership.View our full list of benefits.
About Expedia Group
Expedia Group (NASDAQ: EXPE) powers travel for everyone, everywhere through our global platform. Driven by the core belief that travel is a force for good, we help people experience the world in new ways and build lasting connections. We provide industry-leading technology solutions to fuel partner growth and success, while facilitating memorable experiences for travelers. Expedia Group's family of brands includes: Brand Expedia®, Hotels.com®, Expedia® Partner Solutions, Vrbo®, trivago®, Orbitz®, Travelocity®, Hotwire®, Wotif®, ebookers®, CheapTickets®, Expedia Group™ Media Solutions, Expedia Local Expert®, CarRentals.com™, and Expedia Cruises™.
© 2021 Expedia, Inc. All rights reserved. Trademarks and logos are the property of their respective owners. CST: 2029030-50
Employment opportunities and job offers at Expedia Group will always come from Expedia Group’s Talent Acquisition and hiring teams. Never provide sensitive, personal information to someone unless you’re confident who the recipient is. Expedia Group does not extend job offers via email or any other messaging tools to individuals to whom we have not made prior contact. Our email domain is @expediagroup.com. The official website to find and apply for job openings at Expedia Group is careers.expediagroup.com/jobs.
Expedia is committed to creating an inclusive work environment with a diverse workforce. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status. This employer participates in E-Verify. The employer will provide the Social Security Administration (SSA) and, if necessary, the Department of Homeland Security (DHS) with information from each new employee's I-9 to confirm work authorization."
530,Analytics Engineer,-1,-1,EquipmentShare,Remote,-1,-1,"EquipmentShare is Hiring an Analytics Engineer
EquipmentShare is searching for an Analytics Engineer to join our team. This position is fully remote.
What You'll Do as an Analytics Engineer
Despite having been fundamentally altered by earlier industrial revolutions, the construction industry has hardly budged with the computer revolution. In fact, since 1970, labor productivity in the US construction industry has actually declined, despite it more than doubling in the rest of the economy. This has contributed to housing shortages and the parlous state of infrastructure in some places, and is sanding the gears of carbon reduction efforts.
We think the industry is ripe for change, and we're pushing the leading edge of that change with our next generation T3 Platform, the OS for Construction. Through T3, we help contractors to coordinate humans and (increasingly smarter) machines to build more effectively.
As an Analytics Engineer in our small and quickly growing team, you will play a major role in this effort. In particular, you will:
Establish sound pipelines and clear table structures for a wide variety of metrics used by both the business analytics and data science / ML engineering parts of the organization
Work closely with the rest of the Data Science & Analytics Platform team to enable cutting edge algorithms, causal inference and analytics within a fast-moving environment, while adhering to industry best practices in terms of data access, security, traceability, etc
About You as an Analytics Engineer
Our mission is to change an entire industry, so we only hire people inspired by the goal and up for the challenge. In turn, our employees have every opportunity to grow with us, achieve personal and professional success and enjoy making a tangible difference in a crucial industry for human welfare.
Minimum Qualifications for an Analytics Engineer
Undergraduate degree, or equivalent practical experience, in computer science, machine learning, software engineering, statistics or related field
2+ years working on technology-powered products as either a data platform engineer, data engineer, ML engineer, analytics engineer or a closely related role
Experience with data modeling: specifically the creation of dimensional models and fact tables (Data Vault experience not necessary but would be a plus)
Demonstrated understanding of the techniques and methods of modern product development
Demonstrated understanding of business analytics
Strong cross-functional communication skills
Must be qualified to work in the United States or the United Kingdom - we are not sponsoring any candidates at this time
Why We're a Better Place to Work
Competitive compensation packages
401 (k) and company match
Health insurance and medical coverage benefits
Unlimited paid time off
Generous paid parental leave
Volunteering and local charity initiatives that help you nurture and grow the communities you call home
Opportunities for career and professional development with conferences, events, seminars, continued education
State of the art onsite gym (Corporate HQ)/Gym stipend for remote employees
Since our incorporation in 2015, we've had incredible growth — and we're not stopping anytime soon. Ready to invest in our mission, invest in yourself and discover a better place to work? Then, we'd love to meet you.
At EquipmentShare, it's more than just a job — it's a calling. Apply today.
EquipmentShare is committed to a diverse and inclusive workplace. EquipmentShare is an equal opportunity
employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation,
protected veteran status, disability, age, or other legally protected status.
#LI-Remote"
531,Computational Materials Scientist,"$136,875",3.8,Leidos,Remote,"Industry
Aerospace & Defense",Aerospace & Defense,"Description
Looking for an opportunity to make an impact and grow your career?
The Leidos Research Support Team supporting the National Energy Technology Laboratory (NETL) is seeking a Computational Materials Scientist to join our team! This opportunity will allow side by side execution of research with world-class scientists and engineers using state of the art equipment to contribute to new areas of basic and applied research.
The Computational Materials Scientist will be part of a distributed, multidisciplinary team working on the cutting edge of high-performance computing (HPC) and structural materials development. This work specifically supports fundamental understanding of hydrogen impact on structural and mechanical properties of metals and alloys at elevated temperatures and the design and development of low-cost high-performance materials for extreme environments using multiscale computational modeling and machine learning. The overarching goal is to address potential consequences of shifting from natural gas to hydrogen on the environmental degradation of post-combustion metallic components in power generation turbines. Efforts in this task will further lay the groundwork for the design of cost-effective materials broadly focused on enabling DOE efficiency and emissions targets.
Primary Responsibilities:
Perform density functional theory (DFT) calculations to develop machine learning interatomic potentials (MLIAPs) for steels in presence of hydrogen considering a variety of crystal defects including vacancy, stacking faults, dislocation, surface, grain boundary, and interface.
Perform LAMMPS molecular dynamics & Monte Carlo simulations to predict structural evolution (including phase transformations) and mechanical behavior (including creep, fatigue and their interaction) in steels in presence of hydrogen as a function of alloy composition, temperature, stress, and hydrogen pressure.
Required Education, Experience & Other:
Ph.D. degree in Materials Science, Chemical or Mechanical Engineering, or a related field with 4+ years experience
Extensive research experience in first principles DFT calculations to predict thermodynamic, kinetic, and mechanical properties of crystalline solids using VASP package is required. Direct research experience in crystal defects in metals such as dislocations and interfaces are highly desirable
Excellent computer programming and coding skills such as Python, C/C++, Fortran, Linux script, etc., and demonstrated proficiency in supercomputers and Linux system are required
Demonstrated proficiency in supervised and unsupervised machine learning models, and experience in data curation and analysis. Experience in multi-objective optimization is highly desirable
Excellent record of peer-reviewed quality publications
Excellent oral and written communication skills
Ability to work independently and with minimum supervision, and ability to work effectively as a part of a team in a multi-disciplinary environment and interact with people with a variety of expertise
Must be able to meet the requirements for gaining access to work on the NETL campus
Must be willing to travel periodically as business needs require (approximately 4 times a year)
Preferred Qualifications:
Strong research experience developing MLIAPs for metals and alloys considering crystal defects.
Strong research experience in molecular dynamics & Monte Carlo using LAMMPS to simulate structural evolution and mechanical behavior such as creep and fatigue of metals and alloys at elevated temperatures.
Strong research experience in supervised and unsupervised machine learning to predict composition-processing-microstructure-properties relationship of structural materials.
Salary Range for this position is $115K to $135K
Pay Range:
Pay Range $97,500.00 - $176,250.00
The Leidos pay range for this job level is a general guideline only and not a guarantee of compensation or salary. Additional factors considered in extending an offer include (but are not limited to) responsibilities of the job, education, experience, knowledge, skills, and abilities, as well as internal equity, alignment with market data, applicable bargaining agreement (if any), or other law.
#Remote"
